ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-02,7239.3817225600005,-891.789039013673,9042.021514561953,7239.3817225600005,7239.3817225600005,-3260.849689179585,-3260.849689179585,-3260.849689179585,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,366.36258720976394,366.36258720976394,366.36258720976394,-173.0662493173484,-173.0662493173484,-173.0662493173484,0.0,0.0,0.0,3978.5320333804157
2016-01-03,7239.757263593126,-1475.681902315404,8465.984943616611,7239.757263593126,7239.757263593126,-3303.4067605456016,-3303.4067605456016,-3303.4067605456016,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,392.03771388565673,392.03771388565673,392.03771388565673,-241.29844735925784,-241.29844735925784,-241.29844735925784,0.0,0.0,0.0,3936.350503047524
2016-01-04,7240.132804626249,-1683.7798634820451,8671.806492858124,7240.132804626249,7240.132804626249,-3662.5375808932354,-3662.5375808932354,-3662.5375808932354,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,111.70150030140955,111.70150030140955,111.70150030140955,-320.0930541226443,-320.0930541226443,-320.0930541226443,0.0,0.0,0.0,3577.5952237330134
2016-01-05,7240.508345659374,-1964.8821552041684,7423.263188320179,7240.508345659374,7240.508345659374,-4519.105056345217,-4519.105056345217,-4519.105056345217,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-656.6726661751542,-656.6726661751542,-656.6726661751542,-408.2863630980634,-408.2863630980634,-408.2863630980634,0.0,0.0,0.0,2721.4032893141566
2016-01-06,7240.883886692497,-2117.394467099922,7964.765813015457,7240.883886692497,7240.883886692497,-4020.1446654047922,-4020.1446654047922,-4020.1446654047922,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-61.553978124709985,-61.553978124709985,-61.553978124709985,-504.4446602080817,-504.4446602080817,-504.4446602080817,0.0,0.0,0.0,3220.739221287705
2016-01-07,7241.259427725622,-2213.258926318601,8300.554493963491,7241.259427725622,7241.259427725622,-4089.155105004937,-4089.155105004937,-4089.155105004937,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-28.11783552548531,-28.11783552548531,-28.11783552548531,-606.8912424074509,-606.8912424074509,-606.8912424074509,0.0,0.0,0.0,3152.104322720685
2016-01-08,7241.634968758747,-1978.492264337803,8068.807992515223,7241.634968758747,7241.634968758747,-4291.643178056533,-4291.643178056533,-4291.643178056533,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-123.75732157236548,-123.75732157236548,-123.75732157236548,-713.7398294121673,-713.7398294121673,-713.7398294121673,0.0,0.0,0.0,2949.9917907022145
2016-01-09,7242.01050979187,-1483.4930482952432,8338.608694623079,7242.01050979187,7242.01050979187,-3910.71707829451,-3910.71707829451,-3910.71707829451,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,366.36258720916913,366.36258720916913,366.36258720916913,-822.9336384316784,-822.9336384316784,-822.9336384316784,0.0,0.0,0.0,3331.2934314973604
2016-01-10,7242.386050824995,-1782.9587616347735,8325.535838094545,7242.386050824995,7242.386050824995,-3994.39755375254,-3994.39755375254,-3994.39755375254,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,392.037713885961,392.037713885961,392.037713885961,-932.2892405665002,-932.2892405665002,-932.2892405665002,0.0,0.0,0.0,3247.9884970724556
2016-01-11,7242.761591858119,-2559.3034906678254,7816.522251704956,7242.761591858119,7242.761591858119,-4381.988714249313,-4381.988714249313,-4381.988714249313,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,111.70150030085277,111.70150030085277,111.70150030085277,-1039.5441874781645,-1039.5441874781645,-1039.5441874781645,0.0,0.0,0.0,2860.772877608806
2016-01-12,7243.137132891244,-2968.78667926024,7157.277084602464,7243.137132891244,7243.137132891244,-5253.225984831601,-5253.225984831601,-5253.225984831601,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-656.6726661750413,-656.6726661750413,-656.6726661750413,-1142.4072915845588,-1142.4072915845588,-1142.4072915845588,0.0,0.0,0.0,1989.911148059643
2016-01-13,7243.512673924369,-2687.7358393606305,7440.4413945609185,7243.512673924369,7243.512673924369,-4754.310370471199,-4754.310370471199,-4754.310370471199,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-61.5539781245896,-61.5539781245896,-61.5539781245896,-1238.610365274609,-1238.610365274609,-1238.610365274609,0.0,0.0,0.0,2489.2023034531694
2016-01-14,7243.888214957492,-2730.1886381489107,7671.08135014487,7243.888214957492,7243.888214957492,-4808.224039292052,-4808.224039292052,-4808.224039292052,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-28.1178355239479,-28.1178355239479,-28.1178355239479,-1325.9601766961039,-1325.9601766961039,-1325.9601766961039,0.0,0.0,0.0,2435.66417566544
2016-01-15,7244.263755990617,-2971.544278631711,7206.4930536210795,7244.263755990617,7244.263755990617,-4980.29271161072,-4980.29271161072,-4980.29271161072,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-123.7573215715427,-123.7573215715427,-123.7573215715427,-1402.3893629671772,-1402.3893629671772,-1402.3893629671772,0.0,0.0,0.0,2263.9710443798967
2016-01-16,7244.63929702374,-2317.166246215128,7959.997078286233,7244.63929702374,7244.63929702374,-4553.788496693212,-4553.788496693212,-4553.788496693212,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,366.362587208817,366.362587208817,366.362587208817,-1466.0050568300298,-1466.0050568300298,-1466.0050568300298,0.0,0.0,0.0,2690.850800330528
2016-01-17,7245.014838056865,-2253.5878601227564,8125.404509059634,7245.014838056865,7245.014838056865,-4577.242342759595,-4577.242342759595,-4577.242342759595,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,392.0377138856965,392.0377138856965,392.0377138856965,-1515.134029573291,-1515.134029573291,-1515.134029573291,0.0,0.0,0.0,2667.7724952972703
2016-01-18,7245.39037908999,-2767.130923637912,7518.750782412459,7245.39037908999,7245.39037908999,-4890.807757234114,-4890.807757234114,-4890.807757234114,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,111.70150030023926,111.70150030023926,111.70150030023926,-1548.3632304623534,-1548.3632304623534,-1548.3632304623534,0.0,0.0,0.0,2354.582621855876
2016-01-19,7245.765920123114,-3476.255748270019,6579.677463958476,7245.765920123114,7245.765920123114,-5675.393402347923,-5675.393402347923,-5675.393402347923,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-656.6726661749652,-656.6726661749652,-656.6726661749652,-1564.5747091009575,-1564.5747091009575,-1564.5747091009575,0.0,0.0,0.0,1570.3725177751903
2016-01-20,7246.141461156239,-3008.354761288218,7462.539229306616,7246.141461156239,7246.141461156239,-5078.674044663,-5078.674044663,-5078.674044663,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-61.553978125363464,-61.553978125363464,-61.553978125363464,-1562.9740394656358,-1562.9740394656358,-1562.9740394656358,0.0,0.0,0.0,2167.4674164932385
2016-01-21,7246.517002189362,-2840.0893636851138,7350.551144057164,7246.517002189362,7246.517002189362,-5025.375382136104,-5025.375382136104,-5025.375382136104,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-28.117835524907804,-28.117835524907804,-28.117835524907804,-1543.1115195391956,-1543.1115195391956,-1543.1115195391956,0.0,0.0,0.0,2221.1416200532576
2016-01-22,7246.892543222487,-2686.967036261022,7350.394208572469,7246.892543222487,7246.892543222487,-5082.798943244167,-5082.798943244167,-5082.798943244167,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-123.75732157176164,-123.75732157176164,-123.75732157176164,-1504.8955946004046,-1504.8955946004046,-1504.8955946004046,0.0,0.0,0.0,2164.0935999783196
2016-01-23,7247.268084255612,-2250.606710621794,7653.73088161874,7247.268084255612,7247.268084255612,-4536.381580767352,-4536.381580767352,-4536.381580767352,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,366.36258720846484,366.36258720846484,366.36258720846484,-1448.5981409038156,-1448.5981409038156,-1448.5981409038156,0.0,0.0,0.0,2710.88650348826
2016-01-24,7247.643625288735,-2167.0237598236663,7808.120263044832,7247.643625288735,7247.643625288735,-4436.959758089141,-4436.959758089141,-4436.959758089141,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,392.0377138854323,392.0377138854323,392.0377138854323,-1374.8514449025736,-1374.8514449025736,-1374.8514449025736,0.0,0.0,0.0,2810.683867199594
2016-01-25,7248.01916632186,-2277.337354640942,7541.653442905384,7248.01916632186,7248.01916632186,-4627.081443060254,-4627.081443060254,-4627.081443060254,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,111.70150030130783,111.70150030130783,111.70150030130783,-1284.6369162895612,-1284.6369162895612,-1284.6369162895612,0.0,0.0,0.0,2620.937723261606
2016-01-26,7248.394707354983,-2863.2555326671727,7082.654275591402,7248.394707354983,7248.394707354983,-5290.0844689834685,-5290.0844689834685,-5290.0844689834685,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-656.6726661748523,-656.6726661748523,-656.6726661748523,-1179.2657757366153,-1179.2657757366153,-1179.2657757366153,0.0,0.0,0.0,1958.310238371515
